symbol,company_name,sector,major_sector,SECTOR_CONSUMER,SECTOR_ENERGY,SECTOR_FINANCIAL,SECTOR_MATERIALS,SECTOR_METALS,SECTOR_OTHER,SECTOR_PHARMA,SECTOR_SERVICES
POWERINDIA,Hitachi Energy India Limited,Heavy Electrical Equipment,OTHER,False,False,False,False,False,True,False,False
PRESTIGE,Prestige Estates Projects Limited,Residential Commercial Projects,OTHER,False,False,False,False,False,True,False,False
RECLTD,REC Limited,Financial Institution,OTHER,False,False,False,False,False,True,False,False
RELIANCE,Reliance Industries Limited,Refineries & Marketing,OTHER,False,False,False,False,False,True,False,False
RVNL,Rail Vikas Nigam Limited,Civil Construction,OTHER,False,False,False,False,False,True,False,False
SAIL,Steel Authority of India Limited,Iron & Steel,OTHER,False,False,False,False,False,True,False,False
SBICARD,SBI Cards and Payment Services Limited,Non Banking Financial Company (NBFC),FINANCIAL,False,False,True,False,False,False,False,False
SBILIFE,SBI Life Insurance Company Limited,Life Insurance,OTHER,False,False,False,False,False,True,False,False
SBIN,State Bank of India,Public Sector Bank,FINANCIAL,False,False,True,False,False,False,False,False
SHREECEM,SHREE CEMENT LIMITED,Cement & Cement Products,MATERIALS,False,False,False,True,False,False,False,False
SHRIRAMFIN,Shriram Finance Limited,Non Banking Financial Company (NBFC),FINANCIAL,False,False,True,False,False,False,False,False
SIEMENS,Siemens Limited,Heavy Electrical Equipment,OTHER,False,False,False,False,False,True,False,False
SOLARINDS,Solar Industries India Limited,Explosives,OTHER,False,False,False,False,False,True,False,False
SONACOMS,Sona BLW Precision Forgings Limited,Auto Components & Equipments,OTHER,False,False,False,False,False,True,False,False
SRF,SRF Limited,Specialty Chemicals,MATERIALS,False,False,False,True,False,False,False,False
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals,PHARMA,False,False,False,False,False,False,True,False
SUPREMEIND,Supreme Industries Limited,Plastic Products - Industrial,OTHER,False,False,False,False,False,True,False,False
SUZLON,Suzlon Energy Limited,Heavy Electrical Equipment,OTHER,False,False,False,False,False,True,False,False
TATACOMM,Tata Communications Limited,Telecom - Cellular & Fixed line services,SERVICES,False,False,False,False,False,False,False,True
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Tea & Coffee,OTHER,False,False,False,False,False,True,False,False
TATAELXSI,Tata Elxsi Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
TATAPOWER,Tata Power Company Limited,Integrated Power Utilities,ENERGY,False,True,False,False,False,False,False,False
TATASTEEL,Tata Steel Limited,Iron & Steel,OTHER,False,False,False,False,False,True,False,False
TATATECH,Tata Technologies Limited,IT Enabled Services,SERVICES,False,False,False,False,False,False,False,True
TCS,Tata Consultancy Services Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
TECHM,Tech Mahindra Limited,Computers - Software & Consulting,OTHER,False,False,False,False,False,True,False,False
TIINDIA,Tube Investments of India Limited,Auto Components & Equipments,OTHER,False,False,False,False,False,True,False,False
TITAN,Titan Company Limited,Gems Jewellery And Watches,OTHER,False,False,False,False,False,True,False,False
TMPV,Tata Motors Passenger Vehicles Limited,Passenger Cars & Utility Vehicles,OTHER,False,False,False,False,False,True,False,False
